component_name,technology_code,application_type
Electric Motors - Bearings,IR,Secondary
Electric Motors - Bearings,VI,Primary
Electric Motors - Bearings,UL,Secondary
Electric Motors - Bearings,MC,Secondary
Electric Motors - Elecrical Comps,IR,Secondary
Electric Motors - Elecrical Comps,VI,Secondary
Electric Motors - Elecrical Comps,UL,Secondary
Electric Motors - Elecrical Comps,MC,Primary
Rolling Element Bearings (Oil),LU,Primary
Rolling Element Bearings (Oil),VI,Primary
Rolling Element Bearings (Oil),UL,Secondary
Rolling Element Bearings (Grease),VI,Primary
Rolling Element Bearings (Grease),UL,Primary
Gearboxes / Speed Reducers,IR,Secondary
Gearboxes / Speed Reducers,LU,Primary
Gearboxes / Speed Reducers,UL,Secondary
Gearboxes / Speed Reducers,GM,Secondary
Belt Drives,VI,Primary
Chain Drives,VI,Primary
Chain Drives,UL,Secondary
Chain Drives,CW,Primary
Chain Links,CW,Primary
Couplings,IR,Secondary
Couplings,VI,Primary
Pumps,IR,Secondary
Pumps,LU,Primary
Pumps,VI,Primary
Pumps,UL,Secondary
Pumps,MC,Secondary
Fans / Blowers,IR,Secondary
Fans / Blowers,VI,Primary
Fans / Blowers,MC,Primary
Fans / Blowers,GM,Secondary
Compressors (Reciprocating),IR,Secondary
Compressors (Reciprocating),LU,Primary
Compressors (Reciprocating),UL,Secondary
Linear Rails,VI,Primary
Hydraulic Power Units,IR,Secondary
Hydraulic Power Units,LU,Primary
Hydraulic Power Units,VI,Primary
Hydraulic Power Units,UL,Secondary
Hydraulic Power Units,GM,Primary
Hydraulic Cylinders/Actuators,LU,Primary
Hydraulic Cylinders/Actuators,UL,Secondary
Pneumatic Systems,UL,Primary
Pneumatic Systems,GM,Secondary
Electrical Connections/Terminations,IR,Primary
Electrical Connections/Terminations,UL,Secondary
Electrical Distribution (Switchgear/MCCs),IR,Primary
Electrical Distribution (Switchgear/MCCs),UL,Secondary
Electrical Distribution (Switchgear/MCCs),GM,Secondary
Transformers,IR,Primary
Transformers,UL,Secondary
Transformers,GM,Secondary
Compressed Air Distribution,UL,Primary
Compressed Air Distribution,GM,Primary
FANUC Industrial Robots,VI,Secondary
FANUC Industrial Robots,ZD,Primary
FANUC Industrial Robots,GM,Secondary
Process Heat Exchangers,IR,Primary
Process Heat Exchangers,UL,Secondary
Process Heat Exchangers,GM,Primary
Machine Tool Spindles,LU,Primary
Machine Tool Spindles,GM,Secondary
Chain Pin,CW,Primary
